date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:59:33	5662/5662	---M--	200	added ('OK')	image/png	date:Mon,%2007%20Jan%202019%2012:08:02%20GMT	http://ghriit.raisoni.net/NCRTCSITM/ncrtcsit2019/images/icon/4.png	C:/My%20Web%20Sites/conf/ghriit.raisoni.net/NCRTCSITM/ncrtcsit2019/images/icon/4.png	(from http://ghriit.raisoni.net/NCRTCSITM/ncrtcsit2019/)
11:59:34	2532/2532	---M--	200	added ('OK')	application/javascript	date:Mon,%2007%20Jan%202019%2012:07:56%20GMT	http://ghriit.raisoni.net/NCRTCSITM/ncrtcsit2019/js/jquery.easing.min.js	C:/My%20Web%20Sites/conf/ghriit.raisoni.net/NCRTCSITM/ncrtcsit2019/js/jquery.easing.min.js	(from http://ghriit.raisoni.net/NCRTCSITM/ncrtcsit2019/)
11:59:35	620/620	---M--	200	added ('OK')	application/javascript	date:Mon,%2007%20Jan%202019%2012:07:57%20GMT	http://ghriit.raisoni.net/NCRTCSITM/ncrtcsit2019/js/scrolling-nav.js	C:/My%20Web%20Sites/conf/ghriit.raisoni.net/NCRTCSITM/ncrtcsit2019/js/scrolling-nav.js	(from http://ghriit.raisoni.net/NCRTCSITM/ncrtcsit2019/)
11:59:35	1067/1067	---M--	200	added ('OK')	application/javascript	date:Mon,%2007%20Jan%202019%2012:07:56%20GMT	http://ghriit.raisoni.net/NCRTCSITM/ncrtcsit2019/js/jquery.counterup.min.js	C:/My%20Web%20Sites/conf/ghriit.raisoni.net/NCRTCSITM/ncrtcsit2019/js/jquery.counterup.min.js	(from http://ghriit.raisoni.net/NCRTCSITM/ncrtcsit2019/)
11:59:37	8044/8044	---M--	200	added ('OK')	application/javascript	date:Mon,%2007%20Jan%202019%2012:07:56%20GMT	http://ghriit.raisoni.net/NCRTCSITM/ncrtcsit2019/js/jquery.waypoints.min.js	C:/My%20Web%20Sites/conf/ghriit.raisoni.net/NCRTCSITM/ncrtcsit2019/js/jquery.waypoints.min.js	(from http://ghriit.raisoni.net/NCRTCSITM/ncrtcsit2019/)
11:59:39	37045/37045	---M--	200	added ('OK')	application/javascript	date:Mon,%2007%20Jan%202019%2012:07:56%20GMT	http://ghriit.raisoni.net/NCRTCSITM/ncrtcsit2019/js/bootstrap.min.js	C:/My%20Web%20Sites/conf/ghriit.raisoni.net/NCRTCSITM/ncrtcsit2019/js/bootstrap.min.js	(from http://ghriit.raisoni.net/NCRTCSITM/ncrtcsit2019/)
11:59:41	8415/8415	---M--	200	added ('OK')	application/javascript	date:Mon,%2007%20Jan%202019%2012:07:57%20GMT	http://ghriit.raisoni.net/NCRTCSITM/ncrtcsit2019/js/wow.min.js	C:/My%20Web%20Sites/conf/ghriit.raisoni.net/NCRTCSITM/ncrtcsit2019/js/wow.min.js	(from http://ghriit.raisoni.net/NCRTCSITM/ncrtcsit2019/)
11:59:42	1903/1903	---M--	200	added ('OK')	application/javascript	date:Mon,%2007%20Jan%202019%2012:07:55%20GMT	http://ghriit.raisoni.net/NCRTCSITM/ncrtcsit2019/js/countdown.js	C:/My%20Web%20Sites/conf/ghriit.raisoni.net/NCRTCSITM/ncrtcsit2019/js/countdown.js	(from http://ghriit.raisoni.net/NCRTCSITM/ncrtcsit2019/)
11:59:43	5742/5742	---M--	200	added ('OK')	application/javascript	date:Mon,%2007%20Jan%202019%2012:07:56%20GMT	http://ghriit.raisoni.net/NCRTCSITM/ncrtcsit2019/js/jquery.plate.js	C:/My%20Web%20Sites/conf/ghriit.raisoni.net/NCRTCSITM/ncrtcsit2019/js/jquery.plate.js	(from http://ghriit.raisoni.net/NCRTCSITM/ncrtcsit2019/)
11:59:44	40782/40782	---M--	200	added ('OK')	application/javascript	date:Mon,%2007%20Jan%202019%2012:07:56%20GMT	http://ghriit.raisoni.net/NCRTCSITM/ncrtcsit2019/js/owl.carousel.min.js	C:/My%20Web%20Sites/conf/ghriit.raisoni.net/NCRTCSITM/ncrtcsit2019/js/owl.carousel.min.js	(from http://ghriit.raisoni.net/NCRTCSITM/ncrtcsit2019/)
